Teaching evaluation data aggregated by department and broken down by sex, instructor type, and question Note: Only contains data from classes with enrollment of at least 40 (top quartile of class size)  If you are interested in viewing data for individual instructors or for individual courses, please reach out to Madeline Endres (endremad@umich.edu) and Westley Weimer (weimerw@umich.edu)												
Department of the data for any given row. See Sheet 2 for decoding these	Instructor Type: Professor, Not a Professer (e.g., TA), or All (Professor and Not a Professor) 	The sex of instructors in this row	The teaching evaluation question (or questions) considered in this row	The number of instructors aggregated in this row	Number of "Strong Disagree" ratings 	Number of "Disagree" ratings 	Number of "Neutral" ratings 	Number of "Agree" ratings 	Number of "Strong Agree" ratings 	Number of "Not Applicable" ratings 	Total number of ratings (not including NA ratings)	Average evaluation score for teachers aggregated in this row.  Note: Calculated by first calculating the score for each teacher using an Interpolated Median (http://aec.umich.edu/median.php). These scores are then averaged. Thus, this column will not equal the Interpolated Median of the raw data in columns SD-SA)
MATSCIE	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	0	1	11	41	42	60	95	4.49471435
MATSCIE	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	1	1	11	74	186	16	273	4.66810779
MATSCIE	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	0	0	9	37	50	59	96	4.564484127
MATSCIE	All	Female	The instructor treated students with respect.	3	0	1	7	65	204	14	277	4.785929811
MATSCIE	Not a Professor	Male	The instructor treated students with respect.	3	0	0	5	36	65	50	106	4.658144796
MATSCIE	All	Female	This course advanced my understanding of the subject matter.	3	2	0	27	154	107	1	290	4.219060524
MATSCIE	Not a Professor	Male	This course advanced my understanding of the subject matter.	3	1	6	17	91	41	0	156	3.933604336
MATSCIE	Professor	Female	All Questions	2	20	63	202	626	854	12	1765	4.378980924
MATSCIE	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	1	6	38	90	86	1	221	4.169901586
MATSCIE	Professor	Female	My interest in the subject has increased because of this course.	2	6	28	46	86	54	1	220	3.850985222
MATSCIE	Professor	Female	Overall, the instructor was an excellent teacher.	2	4	8	20	70	117	2	219	4.407733224
MATSCIE	Professor	Female	Overall, this was an excellent course	2	4	11	49	97	61	1	222	3.924486804
MATSCIE	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	2	8	21	69	120	2	220	4.443229167
MATSCIE	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	1	1	6	56	156	2	220	4.693828351
MATSCIE	Professor	Female	The instructor treated students with respect.	2	0	1	3	45	172	2	221	4.866394716
MATSCIE	Professor	Female	This course advanced my understanding of the subject matter.	2	2	0	19	113	88	1	222	4.261517615
MATSCIE	Not a Professor	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	Not a Professor	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	Not a Professor	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	Not a Professor	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	Not a Professor	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	Not a Professor	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MECHENG	All	Male	All Questions	48	436	808	1817	4745	6552	712	14358	4.267914076
MECHENG	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	48	70	135	301	674	707	2	1887	4.076787517
MECHENG	All	Male	My interest in the subject has increased because of this course.	48	107	174	324	637	641	2	1883	3.846937047
MECHENG	All	Male	Overall, the instructor was an excellent teacher.	48	51	98	221	557	786	165	1713	4.238240523
MECHENG	All	Male	Overall, this was an excellent course	48	89	177	341	680	601	1	1888	3.846006035
MECHENG	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	48	55	83	227	521	816	181	1702	4.27560332
MECHENG	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	48	15	48	134	477	1012	196	1686	4.547616947
MECHENG	All	Male	The instructor treated students with respect.	48	13	34	105	427	1134	163	1713	4.671719294
MECHENG	All	Male	This course advanced my understanding of the subject matter.	48	36	59	164	772	855	2	1886	4.325374228
MECHENG	Professor	Male	All Questions	29	341	642	1335	3490	4901	216	10709	4.247174362
MECHENG	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	29	58	105	218	494	494	1	1369	4.005095146
MECHENG	Professor	Male	My interest in the subject has increased because of this course.	29	79	118	237	472	460	1	1366	3.850222328
MECHENG	Professor	Male	Overall, the instructor was an excellent teacher.	29	45	90	168	409	599	50	1311	4.162803481
MECHENG	Professor	Male	Overall, this was an excellent course	29	60	136	241	497	435	0	1369	3.83593871
MECHENG	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	29	49	74	177	378	632	55	1310	4.204849733
MECHENG	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	29	12	41	92	357	807	57	1309	4.568699192
MECHENG	Professor	Male	The instructor treated students with respect.	29	11	32	84	316	865	51	1308	4.647178801
MECHENG	Professor	Male	This course advanced my understanding of the subject matter.	29	27	46	118	567	609	1	1367	4.312331058
MECHENG	Not a Professor	Male	All Questions	19	95	166	482	1255	1651	496	3649	4.299569428
MECHENG	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	19	12	30	83	180	213	1	518	4.186212716
MECHENG	Not a Professor	Male	My interest in the subject has increased because of this course.	19	28	56	87	165	181	1	517	3.841922671
MECHENG	Not a Professor	Male	Overall, the instructor was an excellent teacher.	19	6	8	53	148	187	115	402	4.353381272
MECHENG	Not a Professor	Male	Overall, this was an excellent course	19	29	41	100	183	166	1	519	3.861371953
MECHENG	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	19	6	9	50	143	184	126	392	4.383595636
MECHENG	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	19	3	7	42	120	205	139	377	4.515438784
MECHENG	Not a Professor	Male	The instructor treated students with respect.	19	2	2	21	111	269	112	405	4.709175837
MECHENG	Not a Professor	Male	This course advanced my understanding of the subject matter.	19	9	13	46	205	246	1	519	4.345282225
MECHENG	All	Female	All Questions	12	117	201	464	1083	1394	295	3259	4.312700901
MECHENG	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	12	26	35	70	150	158	7	439	4.125969683
MECHENG	All	Female	My interest in the subject has increased because of this course.	12	27	41	95	135	137	7	435	3.953122271
MECHENG	All	Female	Overall, the instructor was an excellent teacher.	12	13	25	51	133	156	66	378	4.14009282
MECHENG	All	Female	Overall, this was an excellent course	12	24	44	95	135	142	6	440	3.961553438
MECHENG	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	12	12	25	51	122	168	66	378	4.264712959
MECHENG	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	12	4	14	33	126	195	72	372	4.500594946
MECHENG	All	Female	The instructor treated students with respect.	12	0	5	24	96	255	64	380	4.721590205
MECHENG	All	Female	This course advanced my understanding of the subject matter.	12	11	12	45	186	183	7	437	4.36045833
MECHENG	Professor	Female	All Questions	8	94	173	386	847	1059	69	2559	4.245795734
MECHENG	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	8	23	31	60	112	103	1	329	4.072287857
MECHENG	Professor	Female	My interest in the subject has increased because of this course.	8	23	33	78	94	98	1	326	3.834946564
MECHENG	Professor	Female	Overall, the instructor was an excellent teacher.	8	8	22	41	110	131	16	312	4.15545173
MECHENG	Professor	Female	Overall, this was an excellent course	8	22	37	81	100	89	1	329	3.799716521
MECHENG	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	8	7	22	40	105	139	15	313	4.235502881
MECHENG	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	8	1	12	25	110	162	18	310	4.507927051
MECHENG	Professor	Female	The instructor treated students with respect.	8	0	5	19	77	212	16	313	4.754829285
MECHENG	Professor	Female	This course advanced my understanding of the subject matter.	8	10	11	42	139	125	1	327	4.286913714
MECHENG	Not a Professor	Female	All Questions	4	23	28	78	236	335	226	700	4.446511236
MECHENG	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	4	3	4	10	38	55	6	110	4.233333333
MECHENG	Not a Professor	Female	My interest in the subject has increased because of this course.	4	4	8	17	41	39	6	109	4.189473684
MECHENG	Not a Professor	Female	Overall, the instructor was an excellent teacher.	4	5	3	10	23	25	50	66	4.109375
MECHENG	Not a Professor	Female	Overall, this was an excellent course	4	2	7	14	35	53	5	111	4.285227273
MECHENG	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	4	5	3	11	17	29	51	65	4.323133117
MECHENG	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	4	3	2	8	16	33	54	62	4.485930736
MECHENG	Not a Professor	Female	The instructor treated students with respect.	4	0	0	5	19	43	48	67	4.655112045
MECHENG	Not a Professor	Female	This course advanced my understanding of the subject matter.	4	1	1	3	47	58	6	110	4.50754756
NAVARCH	All	Male	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Male	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Male	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Male	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Male	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Male	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Male	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Not a Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Not a Professor	Male	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
NAVARCH	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
